city,country,latitude,longitude,max temp,humidity,cloudiness,windspeed
eskilstuna,SE,59.37,16.51,2.78,80,100,5.7
san juan,AR,-31.54,-68.53,32.32,17,29,3.18
san andres,PH,13.32,122.68,24.27,94,70,0.75
rikitea,PF,-23.12,-134.97,23.34,77,96,4.43
albany,US,42.65,-73.75,8.33,45,75,3.6
ossora,RU,59.24,163.07,2.99,96,100,7.44
kiama,AU,-34.67,150.86,18.33,88,75,3.1
cidreira,BR,-30.17,-50.22,19.94,70,100,3.43
port alfred,ZA,-33.59,26.89,16.67,87,74,0.89
arraial do cabo,BR,-22.97,-42.02,26.0,74,0,4.6
thompson,CA,55.74,-97.86,-4.0,85,90,2.1
isangel,VU,-19.55,169.27,26.0,69,75,4.1
yellowknife,CA,62.45,-114.38,-10.57,66,20,3.6
puerto ayora,EC,-0.74,-90.35,27.0,54,20,7.7
la ronge,CA,55.1,-105.3,-3.0,49,75,5.7
saint-pierre,FR,48.95,4.24,11.11,93,75,7.7
ushuaia,AR,-54.81,-68.31,9.0,39,40,9.3
atuona,PF,-9.8,-139.03,26.86,77,58,6.01
lambare,PY,-25.35,-57.61,25.0,88,75,5.1
imeni poliny osipenko,RU,52.42,136.49,-4.05,56,0,0.91
hobyo,SO,5.35,48.53,26.42,80,100,9.0
xining,CN,36.62,101.77,0.61,51,0,1.12
tuktoyaktuk,CA,69.44,-133.03,-7.0,92,75,5.1
mar del plata,AR,-46.43,-67.52,17.98,19,33,18.85
vermillion,US,42.78,-96.93,10.0,61,90,2.1
longyearbyen,NO,78.22,15.63,-10.0,72,20,4.6
ahipara,NZ,-35.17,173.16,27.78,53,92,0.45
port elizabeth,US,39.31,-74.98,12.0,43,1,3.1
bethel,US,60.79,-161.76,-6.0,67,1,9.8
mataura,NZ,-46.19,168.86,15.98,60,23,1.01
bredasdorp,ZA,-34.53,20.04,15.0,62,33,1.5
moquegua,PE,-17.19,-70.93,17.82,50,0,5.08
henties bay,NA,-22.12,14.28,27.24,17,63,3.28
sawakin,SD,19.1,37.33,29.09,71,36,4.41
port macquarie,AU,-31.43,152.91,26.11,94,75,1.0
yar-sale,RU,66.83,70.83,-16.54,87,0,3.32
eureka,US,40.8,-124.16,20.56,59,40,5.1
arrifes,PT,37.77,-25.7,19.0,68,75,3.1
torbay,CA,47.66,-52.73,10.56,100,90,9.8
kodiak,US,39.95,-94.76,17.22,41,1,6.7
kendari,ID,-3.99,122.52,22.53,96,100,0.85
tasiilaq,GL,65.61,-37.64,-1.0,80,80,1.0
juruti,BR,-2.16,-56.09,34.14,43,1,2.22
fortuna,US,40.6,-124.16,20.56,59,40,5.1
georgetown,GY,6.8,-58.16,29.0,74,40,2.1
bonavista,CA,48.65,-53.11,7.22,84,100,4.02
hermanus,ZA,-34.42,19.24,13.89,83,80,0.89
esperance,AU,-33.86,121.89,9.0,93,33,3.1
punta arenas,CL,-53.16,-70.91,8.0,52,40,16.5
swidnik,PL,51.22,22.7,14.0,87,56,4.6
luderitz,NA,-26.65,15.16,14.81,76,0,7.07
aleppo,SY,36.2,37.17,15.7,39,0,2.65
vostok,RU,46.45,135.83,-11.15,85,0,1.72
iskateley,RU,67.68,53.15,-9.38,86,100,10.13
barrow,AR,-38.31,-60.23,22.75,53,0,4.16
cape town,ZA,-33.93,18.42,16.11,67,53,6.2
bontang,ID,0.12,117.47,25.47,89,47,3.57
kapaa,US,22.08,-159.32,28.0,74,90,4.1
dikson,RU,73.51,80.55,-19.46,95,92,5.33
kachug,RU,53.96,105.89,-7.19,77,67,3.88
jamestown,AU,-33.21,138.6,9.64,79,3,5.49
los llanos de aridane,ES,28.66,-17.92,22.0,83,40,5.7
saint-philippe,CA,45.36,-73.48,7.0,66,40,4.6
mount gambier,AU,-37.83,140.78,10.0,93,90,3.6
